   103 Hera               0.509  17  0.411  14  0.187   9 11.514  11  0.154  10  0.145  13  0.113   8  0.178  14 1980-12-24T09:17:00   6 -9
   103 Hera               0.532  20  0.392  17  0.181  13 11.498  11  0.154  18  0.112  19  0.119  14  0.152  24 1980-12-25T09:14:00   6 -9
   104 Klymene            0.196  37  0.132  28  0.008  15 11.982  21 -0.027  18  0.000  19  0.008  24 -0.003  40 1980-10-30T09:12:00   7 -9
   105 Artemis           -9.999 -99  0.081  71 -0.020  47 12.866  34  0.025  37  0.042  42 -9.999 -99 -9.999 -99 1980-03-19T04:43:00   4 -9
   105 Artemis            0.184  41  0.151  35  0.052  34 13.386  28 -0.017  23  0.004  27  0.005  13 -0.014  45 1981-11-05T02:05:00   5 -9
   106 Dione              0.435  25  0.292  22  0.059  25 11.040  23 -0.050  25 -0.004  36 -0.033  37 -0.043  34 1981-09-26T08:55:00   8 -9
   106 Dione              0.462  16  0.309  19  0.053  15 10.943  17 -0.054  22 -0.004  34 -0.012  37  0.004  44 1981-09-27T09:12:00   4 -9
   107 Camilla            0.168  22  0.121  20  0.016  18 12.526  25  0.010  19  0.063  17  0.077  22  0.060  20 1980-12-27T10:24:00   8 -9
   107 Camilla            0.216  36  0.123  20  0.039  19 13.194  23  0.048  32  0.040  27  0.087  39  0.046  40 1981-05-05T03:40:00   5 -9
   108 Hecuba             0.556  42  0.463  33  0.207  34 13.384  27  0.201  22  0.185  28  0.163  18  0.198  40 1981-11-05T05:38:00   5 -9
   109 Felicitas          0.452  36  0.316  28  0.128  16 11.815  22 -0.018  20  0.012  23  0.081  24 -0.009  37 1980-10-30T11:23:00   5 -9
   109 Felicitas          0.346  26  0.223  29  0.027  25 11.773  29 -0.073  39 -0.088  52 -0.064  57 -0.129  44 1980-11-06T11:49:00   9 -9
   109 Felicitas          0.340  20  0.223  19  0.036  18 10.926  19 -0.022  19  0.009  19  0.036  21  0.043  16 1980-12-27T07:49:00   5 -9
   110 Lydia              0.131  35  0.075  19  0.039  21 11.220  26  0.080  24  0.126  25  0.160  29  0.222  39 1980-09-30T06:33:00   6 -9
   111 Ate                0.235  35  0.173  22  0.017  15 12.117  28 -0.018  24  0.030  17 -0.027  29 -0.003  27 1979-08-23T09:57:00   6 -9
   111 Ate                0.310  20  0.187  19  0.011  16 11.613  18 -0.025  20  0.019  16  0.014  19  0.032  16 1980-12-27T10:11:00   5 -9
   113 Amalthea           0.791  11  0.585  14  0.283   9 12.450   6  0.220  14  0.178  11  0.120   8  0.085  12 1981-02-07T11:39:00   5 -9
   114 Kassandra          0.322  18  0.224  17  0.089  13 12.303  16  0.092  24  0.186  35  0.206  37  0.161  41 1981-09-27T08:13:00   5 -9
   114 Kassandra          0.297  35  0.218  35  0.100  21 12.352  18  0.097  43  0.189  57  0.192  71  0.160  34 1981-09-29T08:09:00   7 -9
   115 Thyra              0.492  21  0.363  21  0.190  24 11.795  19  0.061  36  0.032  57 -0.055  41  0.041  38 1981-10-05T02:58:00   4 -9
   116 Sirona             0.604  43  0.451  34  0.259  35 13.552  27  0.107  24  0.113  26  0.093  21  0.127  40 1981-11-05T02:19:00  10 -9
   117 Lomia              0.073  41  0.090  34  0.000  35 12.403  36  0.021  38  0.033  43  0.027  39  0.140  79 1980-11-08T06:27:00   7 -9
   117 Lomia              0.146  40  0.097  33  0.011  27 13.079  43  0.055  30  0.052  36  0.071  40  0.120  45 1981-11-26T12:36:00  10 -9
   117 Lomia              0.081  37  0.015  52 -0.074  52 12.732  58 -0.010  27  0.016  21  0.030  24  0.069  30 1981-12-22T10:10:00   7 -9
   118 Peitho             0.720  65  0.414  33  0.199  28 11.605  25  0.209  36  0.208  21  0.192  40  0.247  53 1981-12-23T11:41:00   5 -9
